mean,std,max,min,range,skewness,kurtosis,rms,crest_factor,variance,zero_crossings,dominant_freq,spectral_energy,spectral_centroid,spectral_bandwidth,spectral_flatness,event,event_str,label
-0.0001499981566172,0.0116957693466422,0.0262717506200451,-0.0409302797127675,0.0672020303328126,-0.3255544749538211,0.1486900961086399,0.0116967311697262,2.246076295917813,0.0001367910206098,78,450.0,5.921569239119485e-06,404.8334834161792,360.1957911723348,0.004379494023956,normal,normal,0
-3.366501809936788e-06,0.0234069852689069,0.2874700107996975,-0.1667767344702607,0.4542467452699582,0.68441116740715,18.12315711967396,0.0234069855109999,12.281376884887749,0.0005478869593788,903,400.0,2.2797492351590083e-05,369.9878550403888,323.0401208150928,0.0023029800932517,squat D,squat D,1
5.810457439519895e-06,0.0170747575932132,0.155092650935,-0.1682125531007779,0.323305204035778,-0.4485580030741338,10.58095114712853,0.0170747585818484,9.083153368848984,0.0002915473468669,955,425.0,1.1769820779810366e-05,349.4199278312344,345.0854059915973,0.0035332938726823,normal,normal,0
-2.994586396533167e-06,0.0192614359083347,0.1526755603497016,-0.1733215275945033,0.3259970879442049,-0.4440991530144166,14.40575954028602,0.0192614361411197,7.926488930063017,0.0003710029132508,1127,125.0,1.438604172332016e-05,274.3639862623975,365.60199111920025,0.0037356998372631,squat E,squat E,1
-1.0152327010155916e-05,0.0257131735942434,0.3215424891851646,-0.3147865428832072,0.6363290320683719,0.2403886779330915,36.24908317053004,0.0257131755984639,12.504969989174471,0.0006611672962876,1171,475.0,2.591837449100232e-05,441.0546325017394,320.4501838954219,0.00232702795974,squat D,squat D,1
-2.2316656307168396e-05,0.0154437716837088,0.0580342593573917,-0.0574149618305712,0.115449221187963,0.0464428702103784,0.1081199766996778,0.0154437878077781,3.757773680894744,0.0002385100838185,1070,425.0,9.156998876428213e-06,417.403105189004,386.57147127805786,0.0051085350018755,normal,normal,0
4.901102313504993e-05,0.03824510148901,0.3328409635651693,-0.2621487985283637,0.594989762093533,0.7577658190509164,12.281230311095372,0.0382451328927624,8.702831926311758,0.0014626877879046,902,125.0,5.735623853718223e-05,295.504329957284,304.06288865360267,0.00160432997637,squat E,squat E,1
-2.121833987177252e-05,0.0201879013641447,0.0793485351610455,-0.0749326192776852,0.1542811544387307,-0.0182653843489529,0.267555746905908,0.0201879125148288,3.930497276662991,0.0004075513614884,982,475.0,1.613284044719655e-05,394.7700801256094,308.4095832163836,0.0029155636000811,normal,normal,0
-1.3562843941797703e-05,0.0544540827219512,0.6242091767187178,-0.6878097267253658,1.3120189034440837,0.5953266722626255,47.48593677993365,0.0544540844109956,11.46303685886001,0.0029652471250891,999,475.0,0.0001156543966794,430.434119778044,176.32342063701665,0.0006193177524065,squat F,squat F,1
4.119264971159451e-05,0.0206419622764516,0.0659408261633548,-0.070925091901918,0.1368659180652728,0.0319203857478451,0.1168558445733634,0.0206420033779874,3.1944974020144765,0.0004260906066224,207,450.0,1.7496219133965354e-05,449.6159959074981,276.0427612325888,0.002219734840735,normal,normal,0
2.643490109667872e-05,0.042949262112679,0.7353063142889897,-0.5686768191277609,1.3039831334167509,1.435703956488901,64.07661582335564,0.0429492702479052,17.120344770580875,0.0018446391160236,1004,450.0,7.873535877112178e-05,426.2829361917206,248.7190095861797,0.0009178982385488,squat G,squat G,1
-0.0002641701764376,0.0159231810280457,0.0417351018618531,-0.0510764685692894,0.0928115704311425,-0.0021067076427334,-0.277611895331086,0.0159253722070799,2.6206672798076767,0.0002535476940519,151,400.0,1.1202220764681111e-05,423.8215610346645,283.21052179433207,0.0030634434191816,normal,normal,0
